"Year","Total Total","Total Males","Total Females","Murder Total","Murder Males","Murder Females","Crimes of acquisition/forgery Total","Crimes of acquisition/forgery Males","Crimes of acquisition/forgery Females","Motor vehicle theft and traffic offences Total","Motor vehicle theft and traffic offences Males","Motor vehicle theft and traffic offences Females","Drug crimes Total","Drug crimes Males","Drug crimes Females","Sexual crimes Total","Sexual crimes Males","Sexual crimes Females","Crimes of violence Total","Crimes of violence Males","Crimes of violence Females","Other Total","Other Males","Other Females"
"1981",185,..,..,16,..,..,107,..,..,14,..,..,21,..,..,9,..,..,10,..,..,8,..,..
"1982",213,..,..,16,..,..,111,..,..,31,..,..,26,..,..,15,..,..,6,..,..,8,..,..
"1983",246,..,..,16,..,..,119,..,..,41,..,..,40,..,..,11,..,..,13,..,..,6,..,..
"1984",206,..,..,16,..,..,108,..,..,32,..,..,22,..,..,11,..,..,11,..,..,6,..,..
"1985",249,..,..,12,..,..,137,..,..,52,..,..,16,..,..,10,..,..,17,..,..,5,..,..
"1986",303,..,..,11,..,..,161,..,..,66,..,..,33,..,..,7,..,..,16,..,..,9,..,..
"1987",288,..,..,12,..,..,150,..,..,65,..,..,30,..,..,6,..,..,19,..,..,6,..,..
"1988",295,..,..,11,..,..,146,..,..,57,..,..,32,..,..,12,..,..,24,..,..,13,..,..
"1989",334,..,..,14,..,..,180,..,..,82,..,..,25,..,..,12,..,..,14,..,..,7,..,..
"1990",342,..,..,16,..,..,166,..,..,101,..,..,23,..,..,21,..,..,6,..,..,9,..,..
"1991",343,..,..,15,..,..,164,..,..,98,..,..,22,..,..,20,..,..,17,..,..,7,..,..
"1992",334,..,..,12,..,..,163,..,..,80,..,..,28,..,..,18,..,..,20,..,..,13,..,..
"1993",305,..,..,14,..,..,154,..,..,62,..,..,24,..,..,27,..,..,13,..,..,11,..,..
"1994",317,..,..,12,..,..,148,..,..,61,..,..,34,..,..,22,..,..,24,..,..,16,..,..
"1995",368,348,20,9,9,0,157,145,12,81,79,2,51,48,3,25,25,0,24,22,2,21,20,1
"1996",417,398,19,6,6,0,200,186,14,69,66,3,54,52,2,34,34,0,27,27,0,27,27,0
"1997",311,295,16,7,7,0,136,126,10,38,36,2,57,54,3,26,26,0,33,32,1,14,14,0
"1998",268,251,17,10,10,0,102,91,11,37,34,3,54,51,3,28,28,0,27,27,0,10,10,0
"1999",240,230,10,10,10,0,95,91,4,32,31,1,57,53,4,21,21,0,20,19,1,5,5,0
"2000",219,211,8,13,13,0,76,75,1,43,41,2,55,51,4,10,10,0,15,14,1,7,7,0
"2001",254,237,17,16,15,1,83,77,6,39,36,3,75,70,5,14,14,0,22,21,1,5,4,1
"2002",249,230,19,13,11,2,64,58,6,55,53,2,79,73,6,14,14,0,14,12,2,10,9,1
"2003",324,307,17,15,13,2,86,79,7,53,51,2,91,86,5,30,30,0,32,31,1,17,17,0
"2004",315,292,23,13,11,2,108,100,8,39,33,6,76,71,5,36,36,0,31,29,2,12,12,0
"2005",306,283,23,15,13,2,83,74,9,34,33,1,96,89,7,27,27,0,27,26,1,24,21,3
"2006",331,312,19,20,18,2,78,71,7,52,48,4,112,108,4,28,28,0,29,27,2,12,12,0
"2007",288,270,18,22,20,2,66,61,5,32,29,3,91,84,7,42,42,0,23,23,0,12,11,1
"2008",313,286,27,24,23,1,58,50,8,30,26,4,89,79,10,40,40,0,52,50,2,20,18,2
"2009",331,301,30,23,22,1,58,43,15,31,28,3,98,92,6,33,33,0,54,51,3,34,32,2
"2010",326,309,17,22,21,1,83,76,7,11,8,3,113,109,4,40,40,0,36,36,0,21,19,2
"2011",366,341,25,22,21,1,92,83,9,21,18,3,109,101,8,44,44,0,51,50,1,27,24,3
"2012",389,359,30,26,24,2,103,90,13,31,27,4,109,100,9,47,47,0,50,48,2,23,23,0
"2013",373,350,23,25,22,3,82,78,4,27,25,2,114,105,9,52,52,0,55,52,3,18,16,2