"Year","Number","Percentage"
"1950",2696,1.9
"1960",2538,1.4
"1964",2758,1.4
"1973",2853,1.3
"1980",3240,1.4
"1985",3499,1.4
"1987",3874,1.6
"1988",4829,1.9
"1989",4774,1.9
"1990",4812,1.9
"1991",5395,2.1
"1992",4826,1.8
"1993",4825,1.8
"1994",4715,1.8
"1995",4807,1.8
"1996",5148,1.9
"1998",5635,2.1
"1999",6521,2.4
"2000",7271,2.6
"2001",8824,3.1
"2002",9850,3.4
"2003",10221,3.5
"2004",10180,3.5
"2005",10636,3.6
"2006",13778,4.6
"2007",18563,6.0
"2008",23421,7.4
"2009",24379,7.6
"2010",21701,6.8
"2011",21143,6.6
"2012",20957,6.6
"2013",21446,6.7
"2014",22744,7.0
"2015",24294,7.4
"2016",26485,8.0
"2017",30275,8.9
"2018",37830,10.9
"2019",44270,12.4