"Citizenship","2002M01","2002M02","2002M03","2002M04","2002M05","2002M06","2002M07","2002M08","2002M09","2002M10","2002M11","2002M12","2003M01","2003M02","2003M03","2003M04","2003M05","2003M06","2003M07","2003M08","2003M09","2003M10","2003M11","2003M12","2004M01","2004M02","2004M03","2004M04","2004M05","2004M06","2004M07","2004M08","2004M09","2004M10","2004M11","2004M12","2005M01","2005M02","2005M03","2005M04","2005M05","2005M06","2005M07","2005M08","2005M09","2005M10","2005M11","2005M12","2006M01","2006M02","2006M03","2006M04","2006M05","2006M06","2006M07","2006M08","2006M09","2006M10","2006M11","2006M12","2007M01","2007M02","2007M03","2007M04","2007M05","2007M06","2007M07","2007M08","2007M09","2007M10","2007M11","2007M12","2008M01","2008M02","2008M03","2008M04","2008M05","2008M06","2008M07","2008M08","2008M09","2008M10","2008M11","2008M12","2009M01","2009M02","2009M03","2009M04","2009M05","2009M06","2009M07","2009M08","2009M09","2009M10","2009M11","2009M12","2010M01","2010M02","2010M03","2010M04","2010M05","2010M06","2010M07","2010M08","2010M09","2010M10","2010M11","2010M12","2011M01","2011M02","2011M03","2011M04","2011M05","2011M06","2011M07","2011M08","2011M09","2011M10","2011M11","2011M12","2012M01","2012M02","2012M03","2012M04","2012M05","2012M06","2012M07","2012M08","2012M09","2012M10","2012M11","2012M12","2013M01","2013M02","2013M03","2013M04","2013M05","2013M06","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12","2017M01","2017M02","2017M03","2017M04","2017M05","2017M06","2017M07","2017M08","2017M09","2017M10","2017M11","2017M12","2018M01","2018M02","2018M03","2018M04","2018M05","2018M06","2018M07","2018M08","2018M09","2018M10","2018M11","2018M12","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07"
"Passenger total",..,..,33616,35695,38770,60249,72861,76494,44754,40284,30775,22427,30556,26738,38177,45955,44693,66846,87639,88150,54228,51657,37281,28449,34471,35515,40961,55639,57186,77858,100669,97809,60955,56694,45034,31092,37747,37780,51840,48723,56270,87127,106708,105284,72143,60733,48064,40150,42563,41197,47377,65520,66988,95219,109475,112176,75845,70265,57827,45982,47905,47032,59051,64920,74202,110496,130072,128628,73869,76724,64052,51933,51292,52783,64254,60976,77592,105051,125663,123511,77494,61813,41275,37614,38551,33531,41306,52155,57043,81252,105344,116373,64151,55129,40598,33640,38726,37292,48812,42197,51566,85127,111918,119473,68671,64321,45821,39098,45036,42454,49265,61329,68333,103044,130386,136029,82385,70989,49053,43612,49539,49151,60091,66559,76679,113686,147182,152302,96985,80475,63190,49283,56546,60812,76213,73885,88077,126143,156887,168605,106677,90675,75285,66123,72201,73710,90526,94642,103748,151765,184204,190292,125699,107278,93313,81805,90089,93878,116577,107482,132442,185104,225338,229319,166891,144026,117296,103770,107595,129620,156144,133751,170985,253613,291517,285785,223424,208622,176860,166067,173290,183504,208683,215741,197260,284079,334403,337856,261061,241219,196566,180561,186636,200300,229828,200324,228076,305082,344852,347475,289502,263587,201503,186853,179640,189579,213448,181229,183278,259702,291608,300366,233357,219948,176531,168850,158986,167458,95611,1262,1864,11253,58940
"Iceland",..,..,16966,16655,19969,28034,26846,25957,20201,22513,18369,11835,17859,13790,19640,25490,24320,32333,35032,29387,25170,29125,22145,17310,21206,20091,22219,31191,31440,39694,36394,33275,30055,31356,29074,19355,23733,22619,33017,27017,28835,46171,41516,39789,37524,33694,32254,25213,27186,26298,29495,40212,35913,50628,42603,42589,36217,38188,36267,25937,29095,29385,35351,37256,39946,54769,49311,47357,34801,42549,40943,29119,31003,32471,38635,34891,41568,49073,44396,39544,33587,28987,16899,15592,18566,15255,17609,24370,22406,26763,23124,24352,21688,24758,19521,16125,19944,16999,22413,19110,23268,30736,28453,29915,27808,30252,24581,20291,22774,19605,22641,28996,31121,37438,32629,34188,30809,32153,26084,22653,23387,21242,26494,28884,31452,39361,35061,37023,32313,35481,26240,21263,23256,20833,27345,28120,34429,36284,33366,36773,33488,37749,28834,24435,25551,21261,24393,35417,37035,41163,39623,36835,37410,40762,32463,28089,27330,23400,32722,35874,41419,47790,44659,39889,43851,44740,35687,32913,30036,28878,40336,38876,46736,67075,55501,44226,48089,50080,45137,41287,37291,35161,40877,62173,51280,62234,62483,53732,57175,59300,51925,45321,39067,40222,56767,52773,62836,71208,66239,56131,57821,63961,51445,49623,40585,40575,43271,60923,56969,64790,60327,48479,49703,56854,45477,43429,38068,34457,15738,338,829,5310,13326
"Foreigners",..,..,16650,19040,18801,32215,46015,50537,24553,17771,12406,10592,12697,12948,18537,20465,20373,34513,52607,58763,29058,22532,15136,11139,13265,15424,18742,24448,25746,38164,64275,64534,30900,25338,15960,11737,14014,15161,18823,21706,27435,40956,65192,65495,34619,27039,15810,14937,15377,14899,17882,25308,31075,44591,66872,69587,39628,32077,21560,20045,18810,17647,23700,27664,34256,55727,80761,81271,39065,34175,23109,22814,20289,20312,25619,26085,36024,55978,81267,83967,43907,32826,24376,22022,19985,18276,23697,27785,34637,54489,82220,92021,42463,30371,21077,17515,18782,20293,26399,23087,28298,54391,83465,89558,40863,34069,21240,18807,22262,22849,26624,32333,37212,65606,97757,101841,51576,38836,22969,20959,26152,27909,33597,37675,45227,74325,112121,115279,64672,44994,36950,28020,33290,39979,48868,45765,53648,89859,123521,131832,73189,52926,46451,41688,46650,52449,66133,59225,66713,110602,144581,153457,88289,66516,60850,53716,62759,70478,83855,71608,91023,137314,180679,189430,123040,99286,81609,70857,77559,100742,115808,94875,124249,186538,236016,241559,175335,158542,131723,124780,135999,148343,167806,153568,145980,221845,271920,284124,203886,181919,144641,135240,147569,160078,173061,147551,165240,233874,278613,291344,231681,199626,150058,137230,139055,149004,170177,120306,126309,194912,231281,251887,183654,163093,131054,125421,120918,133001,79873,924,1035,5943,45614
"Austria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2074,3807,3931,1616,758,551,398,552,784,756,761,834,1492,3511,3189,1660,661,594,326,486,920,1008,990,882,1695,3289,3476,1406,1099,677,985,664,1361,224,..,..,..,814
"Australia / New Zealand",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3624,4499,4280,4188,3671,2591,3307,4063,2239,2206,2125,2304,3626,4117,3880,4445,3496,2342,2930,3596,1921,2144,1758,1861,3031,3335,3015,3341,2327,2161,3164,2661,1744,1008,..,..,..,75
"U.S.A.",..,..,4238,3286,3782,5635,5808,5848,4172,3089,2384,1767,2451,1990,2969,2838,3623,5943,6232,6454,4554,3528,2779,1881,2479,2269,2796,2900,4127,6263,7322,7722,4530,3605,2525,1828,2445,2246,3082,2945,4642,8165,8740,8108,5667,3792,2636,2163,2891,2411,3379,3586,5238,7578,8673,8667,5378,3590,2797,1612,2068,1685,2517,2934,4754,8788,8548,8282,4996,3432,2374,1531,2130,1502,2112,2111,3354,5947,6378,6892,3784,2535,2042,1708,2386,1756,2693,2105,3625,6024,6422,7329,4721,2946,2404,1498,2077,2186,3035,2117,3470,7257,8128,8363,5629,3844,2806,2254,2909,2900,3710,3318,5117,11580,13545,13821,8272,5549,4108,2732,3914,3879,4513,4450,7469,14258,14960,15825,9820,5912,6414,3612,5054,5357,6962,5990,8864,17581,18452,19409,11547,7162,7333,6001,6770,6743,12217,7691,11495,21255,22998,22513,15329,8498,9735,6860,9377,9039,14391,10870,20267,33589,37235,36410,27972,16122,15320,12213,14428,16339,23587,20186,32563,55510,60607,56924,45378,34756,30580,24429,31009,28913,42978,40388,43626,71949,80622,74604,57315,44969,33629,26401,33501,30526,41904,36274,51608,92879,102709,97434,82346,60976,36530,28127,29524,24727,38088,26477,31640,60248,65552,62752,47108,36022,22871,19049,17887,17472,14646,..,..,..,362
"Belgium",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2158,4750,3677,2352,960,1099,750,1090,1465,1089,1413,1139,1846,3814,3257,2966,809,1395,745,1047,1190,1506,1239,904,2031,3707,2969,1836,1603,1932,616,1200,1699,833,..,..,..,1206
"U.K.",..,..,3401,5156,2590,3600,5636,5573,3271,5086,2780,1816,2927,3605,3812,5840,3960,4734,6826,7270,4179,4143,3363,2314,2553,3793,3551,7335,3950,5812,7541,8804,4469,6356,3507,2185,3112,4292,4033,5745,4001,5875,8044,7985,4386,5662,3055,2370,3437,3680,3471,6283,4948,6613,8047,8728,5729,7509,5100,3985,4287,5344,5486,7547,4997,6594,8775,8813,5602,7309,5150,3487,3872,5797,5703,5817,4938,5440,8031,8685,6812,6377,4957,3553,3865,4881,5197,5794,4324,4377,6319,7208,4845,6088,5017,3704,4312,6116,6544,5286,3137,4051,6222,6383,3749,6545,4229,3752,4526,7033,5719,6722,3375,4360,7059,6997,4190,7703,5090,4834,6956,10522,9107,8437,4352,5878,8506,7784,6313,9458,10241,7045,10031,15970,15458,11490,6763,6969,9954,10215,8087,13000,15527,13644,16576,22820,21093,15661,8280,9479,12641,11156,9384,16249,19638,17526,21686,29250,28142,18930,10717,11539,15601,15063,12678,24200,28943,24275,27521,43123,36530,23990,15860,16189,18162,17558,16274,31205,36594,33389,38357,47321,38687,27817,11363,13878,16551,16179,15779,26862,36378,33371,37999,46931,35044,22841,10651,12846,14353,14533,13530,24657,34291,30287,34719,42715,34458,15644,8949,10134,11230,12128,11770,20881,32039,27135,30466,40706,22869,..,..,..,1422
"Denmark",..,..,1329,1159,1480,2249,4033,2765,2143,1475,1155,855,763,917,1532,1664,1549,2955,4918,3156,2561,2031,1349,931,1114,1483,1909,2413,2993,3269,6395,4068,3612,2799,1582,1208,1255,1379,2145,2401,3164,3377,7128,4905,3712,2767,1492,1227,1374,1460,1981,2927,3397,3309,6993,5034,4555,3426,2245,1504,2001,1731,2841,2832,3016,4632,7583,5432,3926,3739,2132,1527,1941,1762,2307,2583,3351,4683,7737,5370,4123,2909,2391,1869,1910,1885,2460,3053,3345,4363,7787,6058,3451,3024,1640,1294,1232,1418,2274,1971,2841,4259,8058,5804,3602,3405,1720,1555,1625,1472,2208,3175,3436,4532,7996,6027,3894,3450,1574,1316,1715,1525,2695,2855,2981,4175,8167,6110,4138,3392,1804,1349,1504,1590,2747,2750,3427,4300,8938,5547,4884,3951,1956,1525,1932,1876,2769,3477,4116,4939,8567,5855,5284,4450,2884,2088,2164,2318,3183,4323,4025,4267,8514,6022,4866,4962,2933,1648,2063,1761,3265,3955,4519,4560,8982,5792,5308,5362,2588,1796,2074,2412,3392,5026,4517,5194,8817,6280,5507,5068,2615,2338,2671,2886,4401,4847,4125,4134,7639,5741,4714,4884,2868,2109,2758,2929,3551,4363,4033,4366,7497,5745,4619,5513,2115,1790,1920,2308,1819,..,..,1050,9949
"Estonia / Latvia / Lithuania",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2581,3363,2927,2263,2478,2042,2837,1713,1968,2644,2350,2430,3140,3561,3026,2738,2609,1719,2772,1620,1451,1990,2411,2443,3310,3656,3209,2667,3519,2885,3419,1362,4285,5654,..,..,668,995
"Finland",..,..,414,643,523,842,724,882,676,465,296,212,194,290,545,702,736,644,845,925,715,951,270,153,295,285,452,512,704,1139,1195,918,813,550,383,214,153,233,326,536,811,1038,1556,1256,848,1203,221,192,221,250,309,535,960,1132,1423,1181,1117,923,293,191,332,305,286,534,1077,1498,1700,1287,1085,1028,456,287,288,586,711,804,1142,1528,1506,1230,1204,995,468,335,316,322,421,644,1376,1617,2159,1824,1077,1163,399,248,275,268,530,926,842,1459,1769,1762,1004,1053,618,506,443,228,339,937,1248,1467,2318,2026,1395,779,383,468,416,238,725,1093,1381,1969,2198,1542,1792,935,758,637,347,387,756,1416,1481,1898,1786,1731,1577,1198,578,644,351,347,783,1382,1922,2086,2433,1728,1692,1357,736,598,482,624,803,1342,1933,2102,1937,1947,1831,1658,781,581,498,551,1125,1300,2595,2576,2578,1933,2150,2897,905,787,666,652,1123,2537,3097,3602,3326,2518,2417,2306,913,911,793,991,1175,2324,2796,2641,2691,1927,1892,1827,1030,880,866,894,1181,2203,2489,2681,2645,2127,1897,1553,1108,1025,826,1076,303,..,..,107,397
"France",..,..,660,687,871,2184,4800,5197,1653,408,530,358,412,631,1072,880,967,2803,4870,5908,1487,532,288,495,772,675,814,956,935,2138,5492,6429,1403,749,575,544,577,672,807,961,1217,2358,5272,5672,1282,663,467,568,650,786,883,992,1152,2420,5186,5907,1384,613,519,581,546,686,919,1248,1471,2189,5917,6487,1173,776,696,563,1040,1074,1093,1204,1468,2780,6129,7232,1708,850,804,779,914,818,1070,1382,1775,3086,6327,8824,2249,889,746,738,796,884,1604,1141,1457,3365,6400,9103,1728,1127,844,806,1451,1268,1582,1836,1737,3946,7945,10376,2403,1598,993,822,1387,1336,1747,2213,2314,4412,8454,12258,3646,1196,1514,1093,1371,1671,2427,1911,3012,6268,10183,12927,3855,1698,1656,1334,1981,2498,2999,2345,3656,7131,10771,15083,4687,2814,2294,2034,3206,3695,3951,2938,4607,7254,12074,16193,5081,2926,2261,1636,2518,3596,4483,4170,5629,9234,14508,20844,7213,5318,3884,3824,4457,6638,5938,6739,7574,11082,15137,20440,8380,5609,4635,3745,5446,6699,8241,6073,8192,9907,12605,17774,7349,6034,4765,4139,5414,6787,7604,4919,5814,8546,12117,18831,6612,9046,6484,5330,5562,9517,4109,..,..,275,2970
"Netherlands",..,..,611,680,856,1020,1773,1871,940,563,385,286,294,458,1146,480,929,1083,1965,2161,844,640,391,335,313,522,932,569,880,1115,2185,2235,1085,530,377,271,376,500,674,470,822,1201,2083,2374,1159,785,400,314,392,544,636,608,863,1211,1996,2158,1225,996,534,351,441,454,720,654,1256,1727,3103,2929,1443,822,457,399,573,655,1075,956,1739,2066,3448,3841,1629,1191,895,688,559,680,1158,1020,1621,3034,2825,3523,1837,1312,943,750,669,839,1188,821,1467,1857,2866,3265,1440,1365,891,613,698,969,1191,1216,1939,2178,3398,3619,2026,1475,751,537,722,1021,1279,1158,2119,2319,3841,4006,2045,1414,835,546,733,1272,1552,1248,1725,2514,4237,4443,1993,1201,1034,868,953,1651,1857,1308,1891,2904,4734,4919,2241,1675,1179,910,1150,1906,1819,1105,2504,2929,5086,5592,2725,2105,1539,1086,1346,2012,2212,1680,3437,3971,5900,6596,3737,3468,2471,2268,2953,3056,3835,3686,4271,4564,6138,7952,4326,3806,2464,2113,2609,2652,3516,2749,4868,4084,5357,6336,4025,3603,2464,2116,2413,2529,3429,2324,3958,4048,4911,6566,3758,3824,3013,2554,1828,2619,1281,..,..,192,2095
